blockSize;gridSize;elapsedInit;elapsedSort
32;312500;0.001676;0.026471
32;312500;0.001662;0.026936
32;312500;0.001677;0.026648
32;312500;0.001706;0.027142
32;312500;0.001678;0.026869
32;312500;0.001734;0.026766
32;312500;0.001676;0.027058
32;312500;0.001705;0.026659
32;312500;0.001717;0.026742
32;312500;0.001684;0.027706
32;312500;0.001707;0.026558
32;312500;0.002026;0.028378
32;312500;0.001706;0.027594
32;312500;0.001694;0.026738
32;312500;0.001861;0.0274
32;312500;0.001683;0.026829
32;312500;0.00168;0.02675
32;312500;0.001713;0.026655
32;312500;0.001823;0.026528
32;312500;0.001655;0.028588
32;312500;0.001713;0.026881
32;312500;0.001659;0.027038
32;312500;0.001706;0.026507
32;312500;0.001769;0.026989
32;312500;0.001678;0.028343
32;312500;0.001674;0.026875
32;312500;0.00173;0.026479
32;312500;0.001732;0.026376
32;312500;0.001732;0.026825
32;312500;0.001872;0.027033
32;312500;0.001726;0.026794
32;312500;0.001711;0.026508
32;312500;0.001675;0.027032
32;312500;0.001749;0.026826
32;312500;0.001714;0.027629
32;312500;0.001712;0.026968
32;312500;0.001685;0.026699
32;312500;0.001675;0.026866
32;312500;0.001708;0.026731
32;312500;0.001677;0.027004
32;312500;0.001683;0.026975
32;312500;0.001897;0.026365
32;312500;0.00172;0.028873
32;312500;0.001679;0.027151
32;312500;0.001683;0.026723
32;312500;0.001718;0.026592
32;312500;0.001705;0.026927
32;312500;0.001673;0.027264
32;312500;0.001698;0.026911
32;312500;0.001688;0.026761
64;156250;0.001021;0.024167
64;156250;0.001077;0.024153
64;156250;0.001119;0.02532
64;156250;0.0011;0.024273
64;156250;0.001041;0.02391
64;156250;0.001001;0.024112
64;156250;0.001032;0.023988
64;156250;0.001027;0.02468
64;156250;0.001052;0.02438
64;156250;0.001076;0.024536
64;156250;0.001084;0.024413
64;156250;0.001077;0.024316
64;156250;0.001014;0.024512
64;156250;0.001048;0.024186
64;156250;0.001015;0.02412
64;156250;0.001043;0.024017
64;156250;0.00104;0.024048
64;156250;0.001065;0.024106
64;156250;0.00101;0.024351
64;156250;0.001012;0.024252
64;156250;0.001103;0.024059
64;156250;0.001074;0.024277
64;156250;0.001017;0.02429
64;156250;0.00108;0.024383
64;156250;0.001077;0.024142
64;156250;0.00105;0.024747
64;156250;0.001077;0.024706
64;156250;0.001064;0.024036
64;156250;0.001051;0.024481
64;156250;0.001007;0.024363
64;156250;0.001048;0.024124
64;156250;0.001084;0.0243
64;156250;0.001061;0.024872
64;156250;0.001076;0.025272
64;156250;0.001054;0.024501
64;156250;0.001059;0.024436
64;156250;0.001175;0.025306
64;156250;0.00104;0.024518
64;156250;0.00104;0.024181
64;156250;0.001032;0.024519
64;156250;0.001028;0.024129
64;156250;0.001119;0.024242
64;156250;0.001047;0.024311
64;156250;0.001064;0.024253
64;156250;0.001038;0.024083
64;156250;0.001064;0.024805
64;156250;0.001049;0.023978
64;156250;0.001029;0.024446
64;156250;0.001027;0.025805
64;156250;0.001039;0.024307
128;78125;0.000861;0.023161
128;78125;0.000884;0.024859
128;78125;0.000886;0.023313
128;78125;0.000892;0.023276
128;78125;0.000905;0.023271
128;78125;0.000867;0.023015
128;78125;0.000907;0.023311
128;78125;0.000848;0.024024
128;78125;0.000891;0.023176
128;78125;0.000862;0.026056
128;78125;0.000858;0.023142
128;78125;0.001147;0.023811
128;78125;0.000885;0.023186
128;78125;0.00088;0.023051
128;78125;0.000921;0.023853
128;78125;0.000964;0.022749
128;78125;0.00088;0.023287
128;78125;0.000916;0.02314
128;78125;0.000916;0.023396
128;78125;0.000906;0.023679
128;78125;0.000875;0.023271
128;78125;0.000894;0.023254
128;78125;0.001045;0.024152
128;78125;0.000903;0.023037
128;78125;0.000884;0.025658
128;78125;0.000859;0.023434
128;78125;0.000871;0.023812
128;78125;0.000879;0.023197
128;78125;0.000865;0.023534
128;78125;0.000939;0.023415
128;78125;0.000922;0.023194
128;78125;0.00106;0.023159
128;78125;0.00087;0.023409
128;78125;0.00088;0.023313
128;78125;0.000885;0.023598
128;78125;0.000866;0.023193
128;78125;0.000853;0.023178
128;78125;0.000888;0.023509
128;78125;0.000873;0.0234
128;78125;0.000931;0.023405
128;78125;0.000862;0.022778
128;78125;0.000884;0.023455
128;78125;0.000877;0.023839
128;78125;0.000889;0.023018
128;78125;0.000898;0.023301
128;78125;0.000871;0.023715
128;78125;0.00098;0.023116
128;78125;0.00092;0.023216
128;78125;0.00087;0.024388
128;78125;0.000897;0.023368
256;39063;0.000896;0.023881
256;39063;0.000857;0.023766
256;39063;0.00086;0.023393
256;39063;0.000875;0.024652
256;39063;0.00091;0.023369
256;39063;0.000951;0.024796
256;39063;0.000911;0.023538
256;39063;0.000867;0.02369
256;39063;0.000902;0.023911
256;39063;0.000861;0.024557
256;39063;0.000887;0.023485
256;39063;0.000867;0.02386
256;39063;0.000956;0.024097
256;39063;0.000934;0.023941
256;39063;0.000931;0.023421
256;39063;0.000929;0.023505
256;39063;0.000894;0.025129
256;39063;0.000861;0.023319
256;39063;0.000862;0.023443
256;39063;0.000858;0.023665
256;39063;0.00086;0.023243
256;39063;0.000888;0.024427
256;39063;0.000851;0.024784
256;39063;0.000919;0.025073
256;39063;0.000905;0.024049
256;39063;0.000907;0.023278
256;39063;0.000878;0.023233
256;39063;0.001006;0.023358
256;39063;0.000933;0.023601
256;39063;0.000885;0.023742
256;39063;0.0009;0.024644
256;39063;0.000885;0.024017
256;39063;0.000906;0.023981
256;39063;0.000888;0.023537
256;39063;0.000848;0.023143
256;39063;0.000868;0.023284
256;39063;0.000855;0.023731
256;39063;0.000903;0.023445
256;39063;0.000897;0.023523
256;39063;0.000858;0.023436
256;39063;0.001108;0.024062
256;39063;0.000863;0.023145
256;39063;0.000878;0.023457
256;39063;0.000882;0.025149
256;39063;0.000857;0.023961
256;39063;0.000885;0.022922
256;39063;0.000857;0.023252
256;39063;0.000844;0.022797
256;39063;0.000912;0.023355
256;39063;0.000898;0.023472
512;19532;0.000932;0.023694
512;19532;0.000923;0.023275
512;19532;0.000928;0.023702
512;19532;0.001084;0.023687
512;19532;0.000948;0.023721
512;19532;0.00089;0.02329
512;19532;0.0009;0.023756
512;19532;0.000917;0.023607
512;19532;0.000916;0.023371
512;19532;0.000894;0.026049
512;19532;0.000903;0.02353
512;19532;0.000898;0.024727
512;19532;0.000907;0.023532
512;19532;0.000885;0.023905
512;19532;0.000896;0.023461
512;19532;0.000887;0.02354
512;19532;0.001011;0.025869
512;19532;0.000909;0.023558
512;19532;0.000921;0.023774
512;19532;0.000934;0.023628
512;19532;0.000893;0.023589
512;19532;0.000925;0.02383
512;19532;0.000917;0.023539
512;19532;0.001078;0.023556
512;19532;0.0009;0.023958
512;19532;0.00091;0.023703
512;19532;0.000933;0.023681
512;19532;0.000903;0.023672
512;19532;0.000931;0.024215
512;19532;0.000916;0.023501
512;19532;0.000917;0.023753
512;19532;0.000941;0.0241
512;19532;0.000942;0.023982
512;19532;0.000931;0.02411
512;19532;0.000985;0.024374
512;19532;0.000883;0.024867
512;19532;0.000881;0.023599
512;19532;0.000907;0.023842
512;19532;0.000928;0.023445
512;19532;0.000977;0.023361
512;19532;0.000899;0.024277
512;19532;0.000938;0.023843
512;19532;0.000894;0.023942
512;19532;0.00103;0.023704
512;19532;0.000898;0.025096
512;19532;0.000894;0.023791
512;19532;0.000912;0.02522
512;19532;0.000883;0.023609
512;19532;0.000884;0.024023
512;19532;0.000922;0.023594
1024;9766;0.001008;0.024468
1024;9766;0.000951;0.024015
1024;9766;0.000984;0.024318
1024;9766;0.000978;0.02414
1024;9766;0.001;0.026122
1024;9766;0.000982;0.023702
1024;9766;0.000999;0.023898
1024;9766;0.000986;0.024478
1024;9766;0.001116;0.024349
1024;9766;0.000994;0.024738
1024;9766;0.001015;0.024224
1024;9766;0.000983;0.024288
1024;9766;0.000997;0.024143
1024;9766;0.000989;0.025374
1024;9766;0.000982;0.024293
1024;9766;0.001027;0.024525
1024;9766;0.000999;0.024158
1024;9766;0.001053;0.024199
1024;9766;0.000989;0.024082
1024;9766;0.00097;0.024146
1024;9766;0.00097;0.024377
1024;9766;0.001059;0.02436
1024;9766;0.000957;0.024198
1024;9766;0.001036;0.024501
1024;9766;0.001188;0.024588
1024;9766;0.000977;0.024018
1024;9766;0.000968;0.02411
1024;9766;0.001028;0.024092
1024;9766;0.000983;0.023871
1024;9766;0.000959;0.024375
1024;9766;0.001122;0.024333
1024;9766;0.001174;0.024043
1024;9766;0.000958;0.02398
1024;9766;0.000987;0.023951
1024;9766;0.000951;0.025897
1024;9766;0.000975;0.023996
1024;9766;0.000961;0.024478
1024;9766;0.000942;0.02421
1024;9766;0.000983;0.026514
1024;9766;0.000973;0.02396
1024;9766;0.00095;0.025311
1024;9766;0.001;0.024258
1024;9766;0.000958;0.0242
1024;9766;0.000971;0.024344
1024;9766;0.001226;0.024081
1024;9766;0.000984;0.024491
1024;9766;0.000963;0.024303
1024;9766;0.000969;0.024322
1024;9766;0.000961;0.02416
1024;9766;0.000994;0.024885
