blockSize;gridSize;elapsedInit;elapsedSort
32;312500;0.001715;0.040552
32;312500;0.001731;0.040362
32;312500;0.001668;0.040736
32;312500;0.001713;0.041167
32;312500;0.001763;0.040271
32;312500;0.001675;0.041493
32;312500;0.001699;0.039882
32;312500;0.001674;0.03989
32;312500;0.001686;0.04044
32;312500;0.001664;0.039838
32;312500;0.001713;0.040479
32;312500;0.001672;0.039554
32;312500;0.001696;0.040529
32;312500;0.001672;0.039636
32;312500;0.001752;0.040669
32;312500;0.001689;0.04079
32;312500;0.001741;0.039799
32;312500;0.001684;0.039534
32;312500;0.001677;0.039423
32;312500;0.001688;0.039937
32;312500;0.001686;0.040236
32;312500;0.001742;0.039522
32;312500;0.001694;0.040273
32;312500;0.001712;0.040862
32;312500;0.00169;0.04002
32;312500;0.001856;0.040406
32;312500;0.001694;0.039702
32;312500;0.00176;0.040264
32;312500;0.001668;0.041938
32;312500;0.001689;0.039922
32;312500;0.001654;0.040053
32;312500;0.001748;0.040182
32;312500;0.001696;0.039846
32;312500;0.001696;0.039869
32;312500;0.001704;0.040012
32;312500;0.001703;0.040192
32;312500;0.00172;0.041276
32;312500;0.001681;0.041552
32;312500;0.001679;0.040513
32;312500;0.001763;0.04079
32;312500;0.001731;0.039943
32;312500;0.001677;0.040808
32;312500;0.0017;0.03969
32;312500;0.001671;0.041152
32;312500;0.00169;0.040825
32;312500;0.001714;0.041226
32;312500;0.001686;0.040331
32;312500;0.001663;0.039945
32;312500;0.00168;0.040118
32;312500;0.001703;0.039935
64;156250;0.001068;0.028379
64;156250;0.001109;0.029894
64;156250;0.001052;0.028854
64;156250;0.001085;0.029006
64;156250;0.001069;0.029067
64;156250;0.00107;0.029167
64;156250;0.001034;0.029811
64;156250;0.00103;0.028476
64;156250;0.001042;0.028918
64;156250;0.001031;0.02855
64;156250;0.001085;0.028417
64;156250;0.001022;0.028468
64;156250;0.001054;0.028451
64;156250;0.001078;0.0281
64;156250;0.001038;0.028782
64;156250;0.001059;0.030841
64;156250;0.001019;0.028485
64;156250;0.001033;0.028386
64;156250;0.001073;0.029828
64;156250;0.00106;0.028569
64;156250;0.001115;0.028865
64;156250;0.001036;0.028497
64;156250;0.001056;0.028731
64;156250;0.001017;0.028833
64;156250;0.001044;0.029185
64;156250;0.001032;0.028691
64;156250;0.001034;0.028721
64;156250;0.001047;0.028556
64;156250;0.001073;0.028945
64;156250;0.001219;0.027905
64;156250;0.001013;0.028411
64;156250;0.001114;0.028119
64;156250;0.001074;0.028492
64;156250;0.001039;0.028195
64;156250;0.001082;0.028287
64;156250;0.001072;0.028263
64;156250;0.001214;0.029009
64;156250;0.001022;0.028618
64;156250;0.001023;0.031962
