blockSize;gridSize;elapsedInit;elapsedSort
32;3125000;0.014327;0.243184
32;3125000;0.010786;0.199064
32;3125000;0.009584;0.189673
32;3125000;0.009861;0.193692
32;3125000;0.009703;0.188033
32;3125000;0.009664;0.195709
32;3125000;0.009717;0.195272
32;3125000;0.009617;0.194185
32;3125000;0.009566;0.195558
32;3125000;0.009624;0.196063
32;3125000;0.009652;0.192025
32;3125000;0.009619;0.19667
32;3125000;0.009622;0.189689
32;3125000;0.009689;0.193263
32;3125000;0.009643;0.196259
32;3125000;0.009636;0.19048
32;3125000;0.012728;0.21153
32;3125000;0.009822;0.186599
32;3125000;0.009616;0.194212
32;3125000;0.009601;0.193566
32;3125000;0.009698;0.19688
32;3125000;0.009668;0.236031
32;3125000;0.009693;0.196738
32;3125000;0.009593;0.195356
32;3125000;0.00959;0.19681
32;3125000;0.009525;0.197345
32;3125000;0.009512;0.195586
32;3125000;0.010229;0.202095
32;3125000;0.009605;0.192007
32;3125000;0.010372;0.190201
32;3125000;0.009643;0.195003
32;3125000;0.009585;0.196086
32;3125000;0.009639;0.189098
32;3125000;0.009581;0.193275
32;3125000;0.009611;0.187916
32;3125000;0.009633;0.190643
32;3125000;0.009686;0.195386
32;3125000;0.009645;0.194743
32;3125000;0.011917;0.214356
32;3125000;0.009586;0.195647
32;3125000;0.009699;0.190789
32;3125000;0.009571;0.192663
32;3125000;0.009571;0.200938
32;3125000;0.009543;0.241875
32;3125000;0.00959;0.195683
32;3125000;0.009517;0.192181
32;3125000;0.009573;0.187149
32;3125000;0.009629;0.192103
32;3125000;0.009583;0.193935
32;3125000;0.010697;0.204353
64;1562500;0.005342;0.18472
64;1562500;0.005447;0.188431
64;1562500;0.005454;0.194487
64;1562500;0.005381;0.186814
64;1562500;0.006954;0.214617
64;1562500;0.00544;0.193813
64;1562500;0.005448;0.196833
64;1562500;0.005462;0.189738
64;1562500;0.00541;0.191884
64;1562500;0.005434;0.237749
64;1562500;0.006448;0.199248
64;1562500;0.005489;0.190983
64;1562500;0.005418;0.194125
64;1562500;0.005539;0.196532
64;1562500;0.005409;0.193499
64;1562500;0.005415;0.189809
64;1562500;0.005377;0.193643
64;1562500;0.005547;0.200479
64;1562500;0.005473;0.189539
64;1562500;0.005477;0.195901
64;1562500;0.005897;0.202656
64;1562500;0.005495;0.189338
64;1562500;0.005446;0.188409
64;1562500;0.005385;0.186511
64;1562500;0.005418;0.192417
