nThread;timeInt;user;real;sys;pCPU
1;0.000956;0.000;0.010;0.004;46.39
1;0.001026;0.004;0.009;0.000;47.55
1;0.000944;0.000;0.010;0.004;46.84
1;0.000974;0.004;0.008;0.000;46.47
1;0.000983;0.006;0.012;0.000;48.26
1;0.000979;0.005;0.010;0.000;47.80
1;0.000978;0.004;0.010;0.000;41.91
1;0.000985;0.004;0.009;0.000;45.49
1;0.000980;0.004;0.009;0.000;46.34
1;0.001019;0.004;0.009;0.000;44.80
1;0.000979;0.003;0.008;0.000;42.88
1;0.001028;0.005;0.010;0.000;49.17
1;0.000990;0.000;0.010;0.005;48.58
1;0.001000;0.005;0.011;0.000;45.00
1;0.000977;0.004;0.009;0.000;46.85
1;0.000975;0.004;0.008;0.000;46.43
1;0.000987;0.003;0.007;0.000;45.18
1;0.001075;0.005;0.010;0.000;47.21
1;0.000984;0.004;0.010;0.000;44.49
1;0.000985;0.004;0.010;0.000;45.02
1;0.001065;0.004;0.009;0.000;46.22
1;0.001050;0.004;0.010;0.000;45.05
1;0.001009;0.000;0.008;0.004;48.96
1;0.001091;0.004;0.009;0.000;45.81
1;0.000988;0.004;0.008;0.000;46.06
1;0.001060;0.005;0.009;0.000;50.52
1;0.001064;0.004;0.009;0.000;46.26
1;0.000979;0.004;0.011;0.000;40.42
1;0.000986;0.004;0.008;0.000;48.12
1;0.000987;0.005;0.012;0.000;43.63
1;0.001057;0.004;0.009;0.000;41.56
1;0.000995;0.005;0.011;0.000;43.57
1;0.000972;0.004;0.008;0.000;48.00
1;0.000981;0.004;0.009;0.000;46.21
1;0.000982;0.004;0.008;0.000;48.96
1;0.000984;0.004;0.010;0.000;45.33
1;0.000976;0.000;0.010;0.004;46.22
1;0.000990;0.004;0.009;0.000;43.19
1;0.000983;0.004;0.009;0.000;47.55
1;0.000968;0.004;0.009;0.000;47.59
1;0.001079;0.000;0.012;0.005;43.74
1;0.000977;0.004;0.009;0.000;46.08
1;0.000995;0.004;0.009;0.000;47.41
1;0.001018;0.004;0.008;0.000;51.46
1;0.000982;0.004;0.010;0.000;43.81
1;0.000989;0.004;0.009;0.000;46.78
1;0.001053;0.005;0.012;0.000;46.28
1;0.000976;0.005;0.009;0.000;49.91
1;0.001157;0.005;0.009;0.000;47.90
1;0.001004;0.004;0.008;0.000;49.52
1;0.000998;0.005;0.010;0.000;46.56
1;0.001052;0.004;0.009;0.000;47.10
1;0.000987;0.004;0.009;0.000;45.91
1;0.000982;0.000;0.009;0.004;46.16
1;0.001002;0.004;0.010;0.000;39.41
1;0.000977;0.004;0.009;0.000;41.65
1;0.001014;0.004;0.010;0.000;43.21
1;0.000982;0.004;0.008;0.000;48.20
1;0.001013;0.000;0.012;0.004;42.95
1;0.000975;0.004;0.008;0.000;46.85
1;0.000992;0.004;0.010;0.000;45.31
1;0.000978;0.004;0.008;0.000;45.82
1;0.001012;0.004;0.009;0.000;45.87
1;0.000979;0.004;0.008;0.000;46.83
1;0.000998;0.000;0.010;0.004;44.86
1;0.000993;0.004;0.009;0.000;46.41
1;0.000976;0.000;0.011;0.004;42.43
1;0.000984;0.004;0.009;0.000;47.42
1;0.001041;0.005;0.011;0.000;48.88
1;0.001120;0.005;0.011;0.000;46.50
1;0.001015;0.005;0.011;0.000;39.34
1;0.001014;0.004;0.010;0.000;39.51
1;0.000980;0.000;0.010;0.004;39.06
1;0.000980;0.004;0.009;0.000;48.38
1;0.001042;0.004;0.009;0.000;47.31
1;0.000981;0.000;0.010;0.005;48.28
1;0.000989;0.004;0.008;0.000;48.70
1;0.001067;0.004;0.009;0.000;46.02
1;0.000984;0.004;0.009;0.000;45.34
1;0.001001;0.005;0.011;0.000;44.76
1;0.001031;0.004;0.009;0.000;46.50
1;0.001021;0.005;0.010;0.000;49.14
1;0.000984;0.004;0.009;0.000;47.25
1;0.001028;0.005;0.011;0.000;46.34
1;0.000981;0.004;0.009;0.000;45.64
1;0.001028;0.005;0.009;0.000;50.45
1;0.000987;0.000;0.009;0.004;50.59
1;0.000980;0.004;0.009;0.000;44.63
1;0.000983;0.004;0.009;0.000;44.81
1;0.000963;0.000;0.009;0.004;48.97
1;0.000955;0.004;0.008;0.000;47.00
1;0.000977;0.004;0.009;0.000;46.67
1;0.000943;0.004;0.008;0.000;49.06
1;0.000982;0.004;0.008;0.000;47.52
1;0.000946;0.004;0.010;0.000;43.51
1;0.000969;0.004;0.008;0.000;47.37
1;0.000981;0.004;0.010;0.000;43.58
1;0.000979;0.004;0.008;0.000;46.45
1;0.001050;0.004;0.010;0.000;43.26
1;0.000989;0.004;0.008;0.000;50.58
1;0.000994;0.004;0.010;0.000;43.93
1;0.001030;0.004;0.009;0.000;47.19
1;0.001062;0.005;0.010;0.000;49.63
1;0.000995;0.004;0.009;0.000;44.20
1;0.000986;0.004;0.008;0.000;45.32
1;0.001003;0.000;0.008;0.003;41.53
1;0.000981;0.004;0.008;0.000;49.76
1;0.000983;0.004;0.008;0.000;48.17
1;0.000982;0.004;0.010;0.000;45.01
1;0.001031;0.005;0.009;0.000;53.72
1;0.001022;0.000;0.009;0.004;45.81
1;0.000979;0.004;0.008;0.000;46.20
1;0.000983;0.005;0.010;0.000;48.97
1;0.000980;0.004;0.008;0.000;47.17
1;0.000989;0.005;0.012;0.000;41.75
1;0.000977;0.004;0.008;0.000;47.70
1;0.000990;0.005;0.011;0.000;47.23
1;0.000973;0.004;0.009;0.000;46.06
1;0.001013;0.004;0.009;0.000;43.62
1;0.000980;0.003;0.008;0.000;40.84
1;0.000994;0.004;0.008;0.000;48.22
1;0.000967;0.003;0.008;0.000;41.52
1;0.001001;0.000;0.008;0.004;47.38
1;0.000984;0.004;0.008;0.000;46.09
1;0.001017;0.004;0.009;0.000;41.65
1;0.001009;0.000;0.010;0.004;46.11
1;0.000978;0.003;0.009;0.000;39.70
1;0.000980;0.004;0.009;0.000;47.21
1;0.001108;0.004;0.009;0.000;46.78
1;0.000978;0.004;0.009;0.000;43.14
1;0.000983;0.003;0.008;0.000;40.99
1;0.001109;0.004;0.009;0.000;39.62
1;0.001019;0.004;0.009;0.000;48.41
1;0.000991;0.004;0.009;0.000;47.04
1;0.000965;0.004;0.009;0.000;44.65
1;0.000947;0.004;0.008;0.000;44.67
1;0.000951;0.000;0.008;0.003;42.88
1;0.000945;0.004;0.010;0.000;40.74
1;0.000977;0.004;0.010;0.000;39.40
1;0.001020;0.004;0.009;0.000;47.54
1;0.001055;0.005;0.010;0.000;46.21
1;0.001000;0.004;0.009;0.000;48.39
1;0.001143;0.005;0.010;0.000;47.52
1;0.000981;0.004;0.009;0.000;47.50
1;0.001005;0.004;0.009;0.000;48.14
1;0.000984;0.004;0.008;0.000;45.91
1;0.000974;0.004;0.010;0.000;42.61
1;0.000978;0.004;0.009;0.000;44.98
1;0.001009;0.005;0.012;0.000;41.75
1;0.001001;0.000;0.009;0.004;46.29
1;0.000978;0.005;0.010;0.000;47.08
1;0.001006;0.000;0.009;0.004;47.17
1;0.001026;0.004;0.010;0.000;44.62
1;0.000983;0.004;0.009;0.000;48.20
1;0.001019;0.004;0.009;0.000;49.60
1;0.000977;0.004;0.009;0.000;42.43
1;0.000984;0.004;0.009;0.000;47.24
1;0.000953;0.004;0.009;0.000;47.52
1;0.000951;0.004;0.009;0.000;44.50
1;0.000951;0.004;0.009;0.000;46.80
1;0.001306;0.005;0.011;0.000;41.42
1;0.000956;0.004;0.009;0.000;44.48
1;0.001004;0.005;0.009;0.000;47.98
1;0.000958;0.004;0.009;0.000;46.99
1;0.000982;0.004;0.010;0.000;42.44
