nThread;timeInt;user;real;sys;pCPU
2;0.016033;0.092;0.116;0.031;105.85
2;0.016018;0.114;0.108;0.000;105.75
2;0.016024;0.115;0.109;0.000;105.92
2;0.024104;0.119;0.115;0.010;112.43
2;0.016081;0.109;0.113;0.010;105.16
2;0.015672;0.105;0.109;0.010;105.64
2;0.015706;0.114;0.108;0.000;105.00
2;0.015827;0.116;0.110;0.000;106.17
2;0.015770;0.102;0.107;0.010;105.72
2;0.016503;0.103;0.108;0.010;105.36
2;0.015743;0.113;0.108;0.000;104.74
2;0.015742;0.111;0.105;0.000;105.57
2;0.015975;0.104;0.107;0.010;106.22
2;0.015638;0.111;0.105;0.000;106.51
2;0.017669;0.118;0.111;0.000;106.52
2;0.015720;0.103;0.107;0.009;105.18
2;0.016062;0.102;0.105;0.009;105.92
2;0.016018;0.102;0.106;0.010;105.86
2;0.016205;0.115;0.109;0.000;105.40
2;0.016331;0.103;0.107;0.010;105.88
2;0.015784;0.111;0.105;0.000;106.04
2;0.015677;0.111;0.104;0.000;106.25
2;0.015967;0.112;0.105;0.000;106.60
2;0.015919;0.111;0.105;0.000;105.96
2;0.016574;0.101;0.106;0.010;105.16
2;0.016366;0.092;0.105;0.020;106.35
2;0.015625;0.100;0.105;0.011;106.04
2;0.015870;0.112;0.106;0.000;105.54
2;0.015684;0.111;0.105;0.000;105.69
2;0.015638;0.113;0.106;0.000;106.06
2;0.016214;0.111;0.105;0.000;106.21
2;0.015930;0.103;0.106;0.010;106.30
2;0.015994;0.119;0.113;0.000;105.62
2;0.016176;0.115;0.109;0.000;105.79
2;0.015718;0.104;0.108;0.010;105.88
2;0.016055;0.115;0.109;0.000;105.60
2;0.017248;0.104;0.107;0.009;105.92
2;0.015785;0.101;0.106;0.011;105.33
2;0.015573;0.100;0.106;0.011;105.41
2;0.015770;0.115;0.110;0.000;105.20
2;0.016024;0.112;0.106;0.000;105.37
2;0.016148;0.113;0.107;0.000;105.64
2;0.015891;0.113;0.108;0.000;104.39
2;0.015634;0.112;0.106;0.000;105.24
2;0.015666;0.101;0.105;0.010;105.38
2;0.015978;0.112;0.106;0.000;105.59
2;0.015734;0.102;0.106;0.010;105.82
2;0.015692;0.112;0.106;0.000;105.72
2;0.016076;0.102;0.106;0.010;106.09
2;0.015816;0.112;0.105;0.000;106.58
2;0.020794;0.122;0.115;0.000;106.66
2;0.015741;0.119;0.114;0.000;103.74
2;0.015828;0.114;0.108;0.000;105.19
2;0.016983;0.117;0.111;0.000;106.12
2;0.016477;0.113;0.116;0.010;105.86
2;0.016113;0.107;0.111;0.010;105.31
2;0.016333;0.115;0.108;0.000;107.14
2;0.016055;0.105;0.109;0.010;106.21
2;0.016096;0.101;0.107;0.011;105.48
2;0.015716;0.112;0.106;0.000;106.04
2;0.015951;0.113;0.107;0.000;105.57
2;0.015849;0.113;0.107;0.000;105.39
2;0.015642;0.111;0.104;0.000;105.98
2;0.016102;0.101;0.104;0.010;106.40
2;0.015804;0.111;0.105;0.000;105.82
2;0.015834;0.111;0.105;0.000;106.13
2;0.015743;0.111;0.106;0.000;105.06
2;0.015867;0.111;0.105;0.000;106.39
2;0.016091;0.097;0.110;0.019;104.87
2;0.015933;0.111;0.106;0.000;104.68
2;0.015688;0.111;0.105;0.000;106.26
2;0.016075;0.102;0.105;0.009;106.29
2;0.016046;0.102;0.106;0.010;106.27
2;0.017060;0.114;0.108;0.000;106.28
2;0.016121;0.114;0.108;0.000;106.03
2;0.015894;0.113;0.107;0.000;105.31
2;0.015746;0.111;0.104;0.000;106.19
2;0.015782;0.100;0.105;0.010;105.12
2;0.015832;0.100;0.104;0.011;106.40
2;0.015878;0.112;0.106;0.000;105.84
2;0.017130;0.113;0.107;0.000;105.88
2;0.018869;0.117;0.111;0.000;105.12
2;0.015897;0.093;0.107;0.020;106.09
2;0.016029;0.104;0.107;0.009;105.90
2;0.016247;0.114;0.106;0.000;107.03
2;0.015804;0.111;0.105;0.000;105.88
2;0.017614;0.110;0.113;0.010;106.40
2;0.016304;0.123;0.116;0.000;105.60
2;0.015987;0.108;0.112;0.011;105.62
2;0.016144;0.108;0.110;0.010;106.42
2;0.015699;0.106;0.109;0.009;105.21
2;0.015713;0.105;0.108;0.009;105.14
2;0.016275;0.087;0.108;0.026;105.54
2;0.016571;0.114;0.108;0.000;105.76
2;0.015833;0.111;0.105;0.000;106.34
2;0.015756;0.112;0.106;0.000;105.76
2;0.015919;0.092;0.107;0.020;105.84
2;0.015840;0.112;0.105;0.000;106.43
2;0.015967;0.082;0.106;0.031;106.52
2;0.015561;0.111;0.105;0.000;106.08
2;0.015735;0.112;0.107;0.000;104.90
2;0.016002;0.112;0.106;0.000;105.64
2;0.015611;0.113;0.107;0.000;105.29
2;0.015850;0.101;0.105;0.010;105.57
2;0.015966;0.102;0.106;0.010;105.92
2;0.015697;0.112;0.106;0.000;105.95
2;0.015508;0.101;0.105;0.010;106.18
2;0.015425;0.111;0.105;0.000;105.02
2;0.015875;0.092;0.106;0.020;105.79
2;0.015902;0.100;0.105;0.011;106.06
2;0.015615;0.103;0.106;0.009;105.90
2;0.015684;0.113;0.108;0.000;104.86
2;0.015535;0.110;0.104;0.000;106.02
2;0.015895;0.102;0.105;0.010;106.59
2;0.016017;0.111;0.105;0.000;105.49
2;0.017066;0.093;0.107;0.021;106.51
2;0.015685;0.104;0.108;0.010;105.65
2;0.016280;0.106;0.109;0.010;105.68
2;0.015985;0.114;0.107;0.000;105.92
2;0.016267;0.104;0.108;0.010;105.87
2;0.015848;0.105;0.108;0.010;105.89
2;0.015859;0.118;0.113;0.000;104.91
2;0.016104;0.092;0.106;0.020;105.42
2;0.015993;0.104;0.109;0.010;104.83
2;0.015570;0.167;0.171;0.010;103.04
2;0.016077;0.111;0.106;0.000;105.27
2;0.015690;0.112;0.107;0.000;104.45
2;0.015927;0.113;0.108;0.000;105.06
2;0.015948;0.113;0.107;0.000;105.43
2;0.015792;0.113;0.107;0.000;105.45
2;0.016286;0.114;0.107;0.000;105.82
2;0.015631;0.107;0.113;0.011;104.89
2;0.015663;0.095;0.108;0.019;105.87
2;0.015698;0.114;0.109;0.000;105.43
2;0.015497;0.113;0.107;0.000;105.46
2;0.016381;0.116;0.110;0.000;104.98
2;0.015611;0.103;0.106;0.010;106.64
2;0.015867;0.115;0.108;0.000;106.38
2;0.015627;0.107;0.111;0.011;105.58
2;0.016145;0.103;0.107;0.010;105.16
2;0.016005;0.114;0.107;0.000;105.91
2;0.015564;0.111;0.104;0.000;106.15
2;0.015639;0.092;0.107;0.020;105.35
2;0.020610;0.186;0.176;0.000;105.40
2;0.016059;0.118;0.112;0.000;105.80
2;0.015785;0.116;0.109;0.000;106.35
2;0.016052;0.123;0.115;0.000;106.99
2;0.017256;0.118;0.112;0.000;105.77
2;0.015691;0.106;0.109;0.010;105.88
2;0.015895;0.116;0.109;0.000;106.03
2;0.016259;0.114;0.109;0.000;105.05
2;0.016026;0.106;0.108;0.009;105.88
2;0.016208;0.117;0.111;0.000;105.17
2;0.015605;0.105;0.109;0.009;104.63
2;0.016278;0.114;0.107;0.000;106.24
2;0.015735;0.093;0.125;0.031;99.24
2;0.015989;0.106;0.110;0.010;104.97
2;0.015815;0.114;0.107;0.000;105.94
2;0.016144;0.097;0.108;0.017;105.23
2;0.016431;0.117;0.110;0.000;106.54
2;0.015791;0.114;0.107;0.000;105.91
2;0.015876;0.105;0.109;0.009;105.06
2;0.016520;0.114;0.108;0.000;105.70
2;0.016027;0.104;0.108;0.011;105.63
2;0.015971;0.117;0.111;0.000;105.08
2;0.015933;0.107;0.111;0.011;105.69
2;0.015874;0.104;0.109;0.010;105.11
2;0.016139;0.115;0.109;0.000;106.05
2;0.015872;0.085;0.109;0.028;104.69
2;0.015836;0.105;0.107;0.009;106.03
